,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
454,500000.0,Lírio do Vale,Oeste,Casas,630.0,5.0,2.0,5.0
469,1300009.0,Ponta Negra,Oeste,Apartamentos,150.0,3.0,2.0,5.0
479,1100000.0,Ponta Negra,Oeste,Casas,1960.0,3.0,5.0,2.0
492,5200000.0,Adrianópolis,Centro-Sul,Casas,630.0,5.0,5.0,5.0
507,180000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,52.0,2.0,1.0,1.0
518,520000.0,Parque 10 de Novembro,Centro-Sul,Casas,140.0,3.0,3.0,3.0
532,730000.0,Planalto,Centro-Oeste,Casas,300.0,5.0,4.0,5.0
544,333601.0,Centro,Sul,Apartamentos,54.0,1.0,2.0,1.0
558,135000.0,Chapada,Centro-Sul,Apartamentos,32.0,1.0,1.0,1.0
571,270000.0,Novo Aleixo,Norte,Apartamentos,46.0,2.0,1.0,1.0
585,400011.0,Novo Aleixo,Norte,Casas,100.0,3.0,2.0,2.0
595,410000.0,Chapada,Centro-Sul,Apartamentos,90.0,3.0,2.0,3.0
608,290000.0,São Jorge,Oeste,Apartamentos,86.0,3.0,1.0,2.0
620,665000.0,Flores,Centro-Sul,Casas,225.0,5.0,2.0,4.0
629,1350000.0,Ponta Negra,Oeste,Casas,250.0,4.0,5.0,1.0
640,350000.0,Colônia Santo Antônio,Norte,Casas,495.0,3.0,5.0,2.0
651,160000.0,Tarumã,Oeste,Casas,120.0,5.0,2.0,4.0
662,180369.0,Novo Aleixo,Norte,Casas,80.0,2.0,2.0,2.0
680,279428.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,61.0,3.0,1.0,2.0
692,350000.0,Parque 10 de Novembro,Centro-Sul,Casas,110.0,3.0,2.0,2.0
705,1700000.0,Ponta Negra,Oeste,Casas,360.0,3.0,4.0,3.0
716,270000.0,Flores,Centro-Sul,Casas,60.0,2.0,2.0,2.0
727,92000.0,Colônia Terra Nova,Norte,Apartamentos,58.0,2.0,1.0,1.0
738,7000000.0,Aleixo,Centro-Sul,Casas,1000.0,5.0,5.0,5.0
753,850000.0,Ponta Negra,Oeste,Casas,170.0,3.0,4.0,4.0
762,70000.0,Lago Azul,Norte,Apartamentos,48.0,2.0,1.0,1.0
772,790000.0,Dom Pedro I,Centro-Oeste,Apartamentos,92.0,2.0,2.0,2.0
783,750000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,127.0,2.0,2.0,3.0
797,1800000.0,Novo Aleixo,Norte,Casas,700.0,5.0,4.0,1.0
807,390000.0,Nossa Senhora das Graças,Centro-Sul,Casas,110.0,4.0,1.0,1.0
817,500001.0,Parque 10 de Novembro,Centro-Sul,Casas,120.0,4.0,3.0,2.0
827,700000.0,Dom Pedro I,Centro-Oeste,Apartamentos,110.0,3.0,2.0,1.0
837,250001.0,Flores,Centro-Sul,Casas,90.0,3.0,2.0,1.0
851,700000.0,Ponta Negra,Oeste,Casas,160.0,3.0,2.0,1.0
864,600128.0,Aleixo,Centro-Sul,Casas,150.0,3.0,2.0,4.0
877,395000.0,Flores,Centro-Sul,Casas,350.0,3.0,4.0,3.0
889,400000.0,Alvorada,Centro-Oeste,Casas,119.0,3.0,2.0,3.0
903,750000.0,Dom Pedro I,Centro-Oeste,Apartamentos,102.0,3.0,2.0,3.0
912,150000.0,Flores,Centro-Sul,Apartamentos,63.0,2.0,1.0,1.0
923,700000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,274.0,3.0,1.0,4.0
932,550000.0,Dom Pedro I,Centro-Oeste,Casas,275.0,4.0,4.0,3.0
941,100000.0,Nova Cidade,Norte,Casas,100.0,2.0,1.0,2.0
956,280000.0,Novo Aleixo,Norte,Casas,300.0,3.0,2.0,1.0
970,251022.0,Planalto,Centro-Oeste,Apartamentos,52.0,2.0,1.0,2.0
980,180700.0,Novo Aleixo,Norte,Apartamentos,42.0,2.0,1.0,1.0
994,380000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,103.0,3.0,2.0,3.0
1006,757000.0,Dom Pedro I,Centro-Oeste,Apartamentos,134.0,3.0,2.0,4.0
1015,329000.0,Nova Esperança,Oeste,Apartamentos,56.0,3.0,2.0,2.0
1025,988040.0,Ponta Negra,Oeste,Apartamentos,146.0,3.0,2.0,3.0
1034,3350000.0,Ponta Negra,Oeste,Apartamentos,330.0,4.0,4.0,5.0
1045,3000000.0,Adrianópolis,Centro-Sul,Apartamentos,310.0,3.0,4.0,5.0
1057,160000.0,Santa Etelvina,Norte,Casas,500.0,3.0,4.0,2.0
1069,5500000.0,Aleixo,Centro-Sul,Casas,800.0,4.0,5.0,5.0
1083,140000.0,Colônia Terra Nova,Norte,Apartamentos,73.0,3.0,1.0,2.0
1094,1150000.0,Adrianópolis,Centro-Sul,Apartamentos,161.0,3.0,2.0,5.0
1104,187800.0,Alvorada,Centro-Oeste,Apartamentos,41.0,2.0,1.0,1.0
