,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
1588,1500000.0,Tarumã,Oeste,Apartamentos,81.0,3.0,1.0,3.0
1589,360000.0,Cidade Nova,Norte,Apartamentos,80.0,2.0,1.0,2.0
1591,380000.0,Cidade Nova,Norte,Casas,270.0,3.0,3.0,2.0
1593,244200.0,Lírio do Vale,Oeste,Casas,88.0,3.0,2.0,2.0
1594,1500000.0,Ponta Negra,Oeste,Casas,310.0,4.0,4.0,5.0
1595,699000.0,Dom Pedro I,Centro-Oeste,Apartamentos,110.0,3.0,0.0,4.0
1597,500022.0,Planalto,Centro-Oeste,Casas,220.0,3.0,3.0,2.0
1598,120000.0,Lago Azul,Norte,Apartamentos,42.0,2.0,1.0,1.0
1599,80000.0,Jorge Teixeira,Leste,Casas,80.0,3.0,1.0,2.0
1600,660001.0,Dom Pedro I,Centro-Oeste,Apartamentos,100.0,3.0,2.0,2.0
1602,1280000.0,Ponta Negra,Oeste,Casas,275.0,3.0,4.0,4.0
1603,230000.0,Cidade de Deus,Norte,Casas,62.0,5.0,3.0,4.0
1604,850000.0,Ponta Negra,Oeste,Casas,155.0,3.0,2.0,4.0
1605,188310.0,Gilberto Mestrinho,Leste,Apartamentos,43.0,2.0,1.0,1.0
1606,170000.0,Tarumã,Oeste,Apartamentos,42.0,3.0,1.0,1.0
1607,430000.0,Aleixo,Centro-Sul,Apartamentos,85.0,3.0,2.0,2.0
1608,2300000.0,Tarumã,Oeste,Casas,325.0,4.0,4.0,5.0
1609,380000.0,Parque 10 de Novembro,Centro-Sul,Casas,246.0,3.0,3.0,1.0
1610,680000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,167.0,4.0,3.0,4.0
1611,370000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,78.0,3.0,1.0,2.0
1612,180000.0,Monte das Oliveiras,Norte,Casas,46.0,2.0,2.0,1.0
1613,3000000.0,Ponta Negra,Oeste,Casas,800.0,4.0,4.0,5.0
1614,780000.0,Aleixo,Centro-Sul,Apartamentos,152.0,4.0,2.0,3.0
1618,290001.0,Cidade Nova,Norte,Apartamentos,66.0,2.0,1.0,2.0
1619,1300000.0,Presidente Vargas,Sul,Apartamentos,30.0,1.0,0.0,1.0
1620,160127.0,Flores,Centro-Sul,Casas,70.0,2.0,2.0,2.0
1623,1500056.0,Ponta Negra,Oeste,Casas,200.0,3.0,2.0,4.0
1625,474900.0,Ponta Negra,Oeste,Apartamentos,117.0,3.0,2.0,2.0
1627,260000.0,Parque 10 de Novembro,Centro-Sul,Casas,75.0,2.0,2.0,1.0
1628,910000.0,São Geraldo,Centro-Sul,Casas,600.0,5.0,4.0,5.0
1629,1500000.0,Colônia Santo Antônio,Norte,Casas,1000.0,5.0,5.0,5.0
1630,130000.0,Nova Cidade,Norte,Casas,180.0,2.0,2.0,2.0
1631,380000.0,Planalto,Centro-Oeste,Casas,100.0,3.0,4.0,2.0
1632,155000.0,Lago Azul,Norte,Apartamentos,60.0,3.0,1.0,2.0
1633,880000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,131.0,3.0,2.0,4.0
1634,1200000.0,Ponta Negra,Oeste,Casas,190.0,3.0,4.0,3.0
1635,694000.0,Flores,Centro-Sul,Casas,307.0,4.0,3.0,3.0
1636,300130.0,Planalto,Centro-Oeste,Casas,90.0,3.0,2.0,2.0
1637,150000.0,Flores,Centro-Sul,Casas,350.0,3.0,3.0,2.0
1638,220000.0,Novo Aleixo,Norte,Casas,120.0,2.0,1.0,3.0
1639,230000.0,Compensa,Oeste,Apartamentos,58.0,2.0,1.0,1.0
1640,690000.0,Flores,Centro-Sul,Casas,128.0,3.0,2.0,4.0
1641,1420000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,162.0,3.0,2.0,5.0
1642,351150.0,Ponta Negra,Oeste,Apartamentos,60.0,3.0,2.0,2.0
1643,140000.0,Compensa,Oeste,Apartamentos,65.0,2.0,1.0,2.0
1644,250000.0,São Jorge,Oeste,Casas,350.0,3.0,3.0,2.0
1645,109800.0,Tarumã-Açu,Oeste,Apartamentos,53.0,3.0,1.0,1.0
1648,245000.0,Colônia Terra Nova,Norte,Apartamentos,72.0,3.0,1.0,2.0
1649,600000.0,Ponta Negra,Oeste,Apartamentos,88.0,3.0,2.0,3.0
1650,1500000.0,Aleixo,Centro-Sul,Apartamentos,240.0,4.0,4.0,5.0
1651,220001.0,Novo Aleixo,Norte,Casas,80.0,2.0,2.0,2.0
1652,400000.0,Dom Pedro I,Centro-Oeste,Apartamentos,64.0,2.0,1.0,1.0
1654,162100.0,Novo Israel,Norte,Apartamentos,41.0,2.0,1.0,1.0
1656,600130.0,Aleixo,Centro-Sul,Casas,150.0,3.0,2.0,4.0
1657,230000.0,Compensa,Oeste,Apartamentos,58.0,2.0,1.0,2.0
1658,270010.0,Adrianópolis,Centro-Sul,Apartamentos,32.0,1.0,1.0,1.0
1659,180000.0,São José Operário,Leste,Casas,300.0,3.0,2.0,2.0
1660,400000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,117.0,4.0,1.0,3.0
1661,1700000.0,Ponta Negra,Oeste,Casas,1240.0,3.0,5.0,5.0
1662,300000.0,Planalto,Centro-Oeste,Casas,300.0,2.0,4.0,2.0
1663,590000.0,Aleixo,Centro-Sul,Apartamentos,125.0,3.0,2.0,1.0
1664,600005.0,Dom Pedro I,Centro-Oeste,Casas,100.0,4.0,2.0,4.0
1665,910000.0,Ponta Negra,Oeste,Apartamentos,146.0,3.0,2.0,3.0
1667,350000.0,Coroado,Leste,Casas,300.0,4.0,3.0,5.0
1668,120000.0,Colônia Antônio Aleixo,Leste,Casas,300.0,4.0,3.0,2.0
1669,54900.0,Lago Azul,Norte,Apartamentos,40.0,2.0,1.0,1.0
1670,750000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,127.0,3.0,2.0,4.0
1671,120000.0,Monte das Oliveiras,Norte,Casas,80.0,2.0,3.0,1.0
1672,507000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,112.0,3.0,2.0,3.0
