,Unnamed: 0,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
3318,4256,250000.0,Flores,Centro-Sul,Casas,113.0,2.0,2.0,2.0
3327,4268,310000.0,Alvorada,Centro-Oeste,Apartamentos,60.0,3.0,1.0,2.0
3336,4279,730000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,150.0,4.0,2.0,4.0
3345,4290,280131.0,Novo Aleixo,Norte,Casas,90.0,3.0,2.0,2.0
3354,4305,420000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,96.0,3.0,1.0,3.0
3363,4316,340000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,72.0,1.0,2.0,1.0
3372,4327,380000.0,Flores,Centro-Sul,Casas,109.0,3.0,2.0,2.0
3381,4338,390000.0,Parque 10 de Novembro,Centro-Sul,Casas,160.0,5.0,1.0,3.0
3390,4348,290030.0,Colônia Santo Antônio,Norte,Casas,81.0,2.0,1.0,2.0
3399,4360,265999.0,Cidade Nova,Norte,Casas,85.0,3.0,3.0,2.0
3408,4371,320000.0,Cidade de Deus,Norte,Casas,450.0,5.0,3.0,4.0
3417,4381,500000.0,Colônia Terra Nova,Norte,Casas,300.0,3.0,4.0,5.0
3426,4392,230000.0,Japiim,Sul,Apartamentos,72.0,3.0,1.0,1.0
